IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.154.206.51,443,443,true,FRA,Europe,Frankfurt,258,1.73
34.116.201.167,443,443,true,FRA,Europe,Frankfurt,279,1.73
34.118.89.90,443,443,true,FRA,Europe,Frankfurt,279,1.70
34.32.209.205,443,443,true,FRA,Europe,Frankfurt,337,1.65
34.116.222.44,443,443,true,FRA,Europe,Frankfurt,273,1.60
34.118.73.127,443,443,true,FRA,Europe,Frankfurt,276,1.57
34.154.193.1,443,443,true,FRA,Europe,Frankfurt,358,1.57
34.154.4.229,443,443,true,FRA,Europe,Frankfurt,284,1.55
34.90.90.22,443,443,true,FRA,Europe,Frankfurt,365,1.55
34.116.158.27,443,443,true,FRA,Europe,Frankfurt,270,1.55
34.118.100.37,443,443,true,FRA,Europe,Frankfurt,299,1.54
34.107.106.55,443,443,true,FRA,Europe,Frankfurt,361,1.52
34.159.165.190,443,443,true,FRA,Europe,Frankfurt,300,1.50
34.118.96.199,443,443,true,FRA,Europe,Frankfurt,272,1.48
34.116.233.92,443,443,true,FRA,Europe,Frankfurt,357,1.45
34.116.233.124,443,443,true,FRA,Europe,Frankfurt,312,1.43
34.90.90.22,443,443,true,FRA,Europe,Frankfurt,299,1.43
34.118.37.5,443,443,true,FRA,Europe,Frankfurt,283,1.41
34.116.143.235,443,443,true,FRA,Europe,Frankfurt,278,1.39
34.116.151.200,443,443,true,FRA,Europe,Frankfurt,280,1.39
34.118.96.199,443,443,true,FRA,Europe,Frankfurt,268,1.38
34.118.57.162,443,443,true,FRA,Europe,Frankfurt,334,1.28
34.118.25.207,443,443,true,FRA,Europe,Frankfurt,395,1.28
34.116.189.111,443,443,true,FRA,Europe,Frankfurt,316,1.20
34.118.16.200,443,443,true,FRA,Europe,Frankfurt,282,1.20
34.107.68.152,443,443,true,FRA,Europe,Frankfurt,790,1.19
34.116.244.218,443,443,true,FRA,Europe,Frankfurt,331,1.13
34.118.74.5,443,443,true,FRA,Europe,Frankfurt,278,1.12
34.116.137.3,443,443,true,FRA,Europe,Frankfurt,370,1.12
34.107.5.109,443,443,true,FRA,Europe,Frankfurt,367,1.12
34.118.23.146,443,443,true,FRA,Europe,Frankfurt,378,1.09
34.154.198.125,443,443,true,FRA,Europe,Frankfurt,361,1.08
34.154.109.243,443,443,true,FRA,Europe,Frankfurt,308,1.03
34.116.214.69,443,443,true,FRA,Europe,Frankfurt,321,1.01
34.65.255.1,443,443,true,FRA,Europe,Frankfurt,293,1.00
34.147.118.212,443,443,true,FRA,Europe,Frankfurt,297,0.99
34.118.16.200,443,443,true,FRA,Europe,Frankfurt,347,0.99
34.118.12.204,443,443,true,FRA,Europe,Frankfurt,323,0.96
35.204.163.73,443,443,true,FRA,Europe,Frankfurt,309,0.95
34.116.222.152,443,443,true,FRA,Europe,Frankfurt,266,0.93
34.65.204.120,443,443,true,FRA,Europe,Frankfurt,347,0.92
34.116.222.152,443,443,true,FRA,Europe,Frankfurt,322,0.91
35.234.105.116,443,443,true,FRA,Europe,Frankfurt,278,0.91
34.116.200.169,443,443,true,FRA,Europe,Frankfurt,313,0.90
34.118.74.5,443,443,true,FRA,Europe,Frankfurt,273,0.89
34.116.237.149,443,443,true,FRA,Europe,Frankfurt,316,0.89
34.116.143.230,443,443,true,FRA,Europe,Frankfurt,335,0.88
34.65.229.96,443,443,true,FRA,Europe,Frankfurt,289,0.87
34.118.46.98,443,443,true,FRA,Europe,Frankfurt,327,0.84
34.90.90.22,443,443,true,FRA,Europe,Frankfurt,297,0.83
34.118.61.68,443,443,true,FRA,Europe,Frankfurt,325,0.82
34.118.60.206,443,443,true,FRA,Europe,Frankfurt,331,0.80
